START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  1.0627346973518719E+00 -1.5935514846171412E+00 -1.1436432041186595E+00
  1.5940022724588900E+00 -1.0640035382178645E+00 -1.1436432041186595E+00
 -1.5940022724588900E+00  1.0640035382178645E+00  1.1436432041186595E+00
  1.5938027253210549E+00  1.5886438391978301E+00  0.0000000000000000E+00
 -1.5938027253210549E+00 -1.5886438391978301E+00  0.0000000000000000E+00
 -1.5938027253210549E+00  1.5930953008282764E+00  0.0000000000000000E+00
  1.5938027253210549E+00 -1.5930953008282764E+00  0.0000000000000000E+00
  5.3136734867593594E-01  2.1198184693820270E+00 -5.7182160205932975E-01
 -5.3136734867593594E-01 -2.1198184693820270E+00  5.7182160205932975E-01
  5.3116780153810061E-01  2.1210165634426330E+00  5.7182160205932975E-01
 -5.3116780153810061E-01 -2.1210165634426330E+00 -5.7182160205932975E-01
 -5.3116780153810061E-01  2.1213022899255094E+00 -5.7182160205932975E-01
  5.3116780153810061E-01 -2.1213022899255094E+00  5.7182160205932975E-01
 -5.3136734867593594E-01  2.1225003839861154E+00  5.7182160205932975E-01
  5.3136734867593594E-01 -2.1225003839861154E+00 -5.7182160205932975E-01
  2.1251700739969905E+00  5.2672316855375068E-01 -5.7182160205932975E-01
 -2.1251700739969905E+00 -5.2672316855375068E-01  5.7182160205932975E-01
 -2.1249705268591557E+00 -5.2792126261435646E-01 -5.7182160205932975E-01
  2.1249705268591557E+00  5.2792126261435646E-01  5.7182160205932975E-01
 -2.1249705268591557E+00  5.3265845072767914E-01 -5.7182160205932975E-01
  2.1249705268591557E+00 -5.3265845072767914E-01  5.7182160205932975E-01
  2.1251700739969905E+00 -5.3385654478828493E-01 -5.7182160205932975E-01
 -2.1251700739969905E+00  5.3385654478828493E-01  5.7182160205932975E-01
  1.0628344709207893E+00  1.0572987517076449E+00 -1.7154648061779891E+00
 -1.0628344709207893E+00 -1.0572987517076449E+00  1.7154648061779891E+00
 -1.0622358295072838E+00  1.0602663927946092E+00 -1.7154648061779891E+00
  1.0622358295072838E+00 -1.0602663927946092E+00  1.7154648061779891E+00
 -1.0622358295072838E+00 -1.0608930338894620E+00 -1.7154648061779891E+00
  1.0622358295072838E+00  1.0608930338894620E+00  1.7154648061779891E+00
 -1.0628344709207893E+00  1.0638606749764263E+00  1.7154648061779891E+00
  1.0628344709207893E+00 -1.0638606749764263E+00 -1.7154648061779891E+00
  3.9909427567042454E-04 -2.3961881212114836E-03 -2.2872864082373190E+00
 -3.9909427567042454E-04  2.3961881212114836E-03  2.2872864082373190E+00
  1.5939024988899724E+00  1.5880447921675274E+00 -5.7182160205932975E-01
 -1.5939024988899724E+00 -1.5880447921675274E+00  5.7182160205932975E-01
  1.5937029517521373E+00  1.5892428862281329E+00  5.7182160205932975E-01
 -1.5937029517521373E+00 -1.5892428862281329E+00 -5.7182160205932975E-01
