START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  4.9987017134399531E-01  1.0056921878956848E+00 -1.3325917030302539E+00
 -4.9987017134399531E-01 -1.0056921878956848E+00  1.3325917030302539E+00
  1.4981145356532628E+00 -4.4672191327785188E-03 -8.9254587049828460E-01
 -1.4981145356532628E+00  4.4672191327785188E-03  8.9254587049828460E-01
  1.4986769649692531E+00  7.0080572128544908E-03  8.9222801459867174E-01
 -1.4986769649692531E+00 -7.0080572128544908E-03 -8.9222801459867174E-01
  9.9809530660689472E-01 -5.1469709730331459E-01 -1.3417072091771209E+00
 -9.9809530660689472E-01  5.1469709730331459E-01  1.3417072091771209E+00
  9.9976569380811586E-01  5.1639098935669858E-01  1.3414953052440457E+00
 -9.9976569380811586E-01 -5.1639098935669858E-01 -1.3414953052440457E+00
 -9.5890018285799887E-04 -1.5150751200395292E+00  8.8332441238488002E-01
  9.5890018285799887E-04  1.5150751200395292E+00 -8.8332441238488002E-01
 -4.9821668488952436E-01  1.0220581563874427E+00  1.3446750765817181E+00
  4.9821668488952436E-01 -1.0220581563874427E+00 -1.3446750765817181E+00
 -5.0071381531798087E-01 -1.0229051024141345E+00 -1.3445691246151805E+00
  5.0071381531798087E-01  1.0229051024141345E+00  1.3445691246151805E+00
  1.5213294988484065E-03  1.5265503963851621E+00  9.0144947271207632E-01
 -1.5213294988484065E-03 -1.5265503963851621E+00 -9.0144947271207632E-01
  5.6242931599040770E-04  1.1475276345633010E-02  1.7847738850969563E+00
 -5.6242931599040770E-04 -1.1475276345633010E-02 -1.7847738850969563E+00
  1.4975690070840224E+00 -1.0126047531015259E+00 -6.2006147255385139E-03
 -1.4975690070840224E+00  1.0126047531015259E+00  6.2006147255385139E-03
  1.4992224935384935E+00  1.0151455911816016E+00  5.8827588259257454E-03
 -1.4992224935384935E+00 -1.0151455911816016E+00 -5.8827588259257454E-03
  1.4982635933556354E+00 -4.9992952885792741E-01  8.8920717121080572E-01
 -1.4982635933556354E+00  4.9992952885792741E-01 -8.8920717121080572E-01
 -1.4985279072668805E+00 -5.0247036693800340E-01  8.8952502711041859E-01
  1.4985279072668805E+00  5.0247036693800340E-01 -8.8952502711041859E-01
 -9.9769038536665211E-01  1.5199658121856536E+00  9.1684821301357845E-03
  9.9769038536665211E-01 -1.5199658121856536E+00 -9.1684821301357845E-03
  1.4977011640396449E+00 -5.1140480520356035E-01 -8.9556671388615061E-01
 -1.4977011640396449E+00  5.1140480520356035E-01  8.9556671388615061E-01
  1.4990903365828709E+00  5.1394564328363634E-01  8.9524885798653775E-01
 -1.4990903365828709E+00 -5.1394564328363634E-01 -8.9524885798653775E-01
